track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_date,danceability,,,,,,,,,,, 
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],5/8/2019,0.684,,,,,,,,,,,
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],10/25/2019,0.732,,,,,,,,,,,
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),5/24/2019,0.62,,,,,,,,,,,
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),6/21/2019,0.675,,,,,,,,,,,
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),8/9/2019,0.682,,,,,,,,,,,
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2/1/2019,0.663,,,,,,,,,,,
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),5/23/2019,0.625,,,,,,,,,,,
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),4/19/2019,0.679,,,,,,,,,,,
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,56,Mother (Fedde Le Grand Remix),11/1/2019,0.641,,,,,,,,,,,
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,56,Signs (Eden Prince Remix),11/30/2018,0.702,,,,,,,,,,,
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,58,Ruin My Life (Remixes),11/23/2018,0.723,,,,,,,,,,,
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),9/5/2019,0.742,,,,,,,,,,,
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),11/22/2019,0.716,,,,,,,,,,,
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),6/21/2019,0.748,,,,,,,,,,,
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),11/30/2018,0.816,,,,,,,,,,,
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,7/25/2018,0.633,,,,,,,,,,,
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],7/12/2019,0.563,,,,,,,,,,,
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),6/27/2019,0.728,,,,,,,,,,,
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),10/25/2019,0.846,,,,,,,,,,,
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87,Higher Love,6/28/2019,0.693,,,,,,,,,,,
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,62,Unlove You,10/18/2019,0.678,,,,,,,,,,,
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),7/11/2019,0.67,,,,,,,,,,,
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),11/1/2019,0.755,,,,,,,,,,,
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),5/24/2019,0.622,,,,,,,,,,,
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),10/25/2019,0.789,,,,,,,,,,,
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),8/9/2019,0.64,,,,,,,,,,,
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),6/14/2019,0.609,,,,,,,,,,,
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),9/27/2019,0.64,,,,,,,,,,,
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),1/25/2019,0.75,,,,,,,,,,,
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),11/12/2019,0.535,,,,,,,,,,,
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),4/29/2019,0.766,,,,,,,,,,,
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),11/15/2019,0.649,,,,,,,,,,,
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],10/19/2018,0.588,,,,,,,,,,,
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),12/12/2019,0.355,,,,,,,,,,,
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),11/1/2019,0.542,,,,,,,,,,,
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,67,Cool Kids,11/1/2019,0.735,,,,,,,,,,,
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],8/9/2019,0.752,,,,,,,,,,,
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),8/23/2019,0.748,,,,,,,,,,,
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),12/27/2019,0.607,,,,,,,,,,,
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],7/11/2019,0.607,,,,,,,,,,,
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,51,With You - The Remixes,9/12/2019,0.679,,,,,,,,,,,
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),11/15/2019,0.714,,,,,,,,,,,
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],9/28/2018,0.69,,,,,,,,,,,
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),3/27/2019,0.775,,,,,,,,,,,
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],10/11/2019,0.814,,,,,,,,,,,
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],10/4/2019,0.784,,,,,,,,,,,
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),9/13/2019,0.367,,,,,,,,,,,
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2/9/2018,0.609,,,,,,,,,,,
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,39,World War Joy,5/31/2019,0.591,,,,,,,,,,,
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,5/24/2019,0.59,,,,,,,,,,,
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,83,Here With Me,3/8/2019,0.791,,,,,,,,,,,
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),7/12/2019,0.564,,,,,,,,,,,
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,81,Sixteen,4/12/2019,0.669,,,,,,,,,,,
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,85,Never Really Over,5/31/2019,0.77,,,,,,,,,,,
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),3/27/2019,0.513,,,,,,,,,,,
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),5/3/2019,0.72,,,,,,,,,,,
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],10/4/2019,0.789,,,,,,,,,,,
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,7/24/2019,0.294,,,,,,,,,,,
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,74,All the Time,6/21/2019,0.665,,,,,,,,,,,
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),3/22/2019,0.46,,,,,,,,,,,
1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,71,With You,6/14/2019,0.362,,,,,,,,,,,
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),10/18/2019,0.686,,,,,,,,,,,
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,73,Not Ok,5/23/2019,0.618,,,,,,,,,,,
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,79,Ruin My Life,10/18/2018,0.665,,,,,,,,,,,
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),3/16/2018,0.661,,,,,,,,,,,
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,63,Better With You,3/1/2019,0.571,,,,,,,,,,,
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",4/19/2019,0.591,,,,,,,,,,,
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,16,Blue,11/9/2018,0.652,,,,,,,,,,,
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),9/27/2018,0.706,,,,,,,,,,,
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,8/16/2019,0.404,,,,,,,,,,,
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,55,I'm Not Alright,7/12/2019,0.876,,,,,,,,,,,
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,30,SOS,4/10/2019,0.802,,,,,,,,,,,
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,62,Snacks,7/12/2019,0.906,,,,,,,,,,,
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84,The Middle,1/23/2018,0.753,,,,,,,,,,,
1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,70,Wanted,9/27/2019,0.693,,,,,,,,,,,
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,37,Crash Into Me,7/12/2019,0.672,,,,,,,,,,,
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,70,Gravity,10/24/2019,0.581,,,,,,,,,,,
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),5/13/2019,0.643,,,,,,,,,,,
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),1/18/2019,0.674,,,,,,,,,,,
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,36,Nostalgic,6/18/2019,0.691,,,,,,,,,,,
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,52,Let It Be Me,9/6/2019,0.661,,,,,,,,,,,
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,58,Lovers + Strangers,10/11/2019,0.653,,,,,,,,,,,
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),6/14/2019,0.734,,,,,,,,,,,
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,64,In the Shape of a Dream,8/31/2018,0.663,,,,,,,,,,,
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,63,Save Me Tonight,1/25/2019,0.55,,,,,,,,,,,
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),3/2/2017,0.703,,,,,,,,,,,
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2/21/2019,0.44,,,,,,,,,,,
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),3/3/2017,0.625,,,,,,,,,,,
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,Cashae,56,Endless Summer,7/12/2019,0.625,,,,,,,,,,,
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],10/25/2019,0.547,,,,,,,,,,,
3Kuu5vASpXK8oRsxOvau6P,Think About You,Kygo,71,Think About You,2/14/2019,0.673,,,,,,,,,,,
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,64,Dedicated,5/17/2019,0.699,,,,,,,,,,,
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,82,Ritual,5/31/2019,0.647,,,,,,,,,,,
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),9/6/2018,0.588,,,,,,,,,,,
6QcrReLyoun4xrPVsZ5OJE,Lie,Shallou,41,Lie,1/25/2018,0.655,,,,,,,,,,,
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,12/7/2018,0.79,,,,,,,,,,,
5cE201rNvIkryS8N1dJ5nR,Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2/27/2019,0.611,,,,,,,,,,,
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,R3HAB,72,All Comes Back To You,10/25/2019,0.726,,,,,,,,,,,
48GmVZwvkoVC5StfMLfNJE,Need U,DVBBS,24,Need U,8/16/2019,0.714,,,,,,,,,,,
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,58,First Love,10/13/2017,0.619,,,,,,,,,,,
6BwClo5W3VvTzJv8bvZXDD,Something Real,Armin van Buuren,65,Something Real,7/12/2019,0.575,,,,,,,,,,,
108r6pnZHStBIktpyyps9w,TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,3/8/2019,0.768,,,,,,,,,,,
24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),Elderbrook,53,Distinction EP,8/9/2019,0.767,,,,,,,,,,,
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),8/16/2019,0.466,,,,,,,,,,,
0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),FANNYPACK,39,Simple (STVW Remix),4/12/2019,0.434,,,,,,,,,,,
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,Joel Corry,75,Sorry,4/5/2019,0.744,,,,,,,,,,,
54z0kLF0skj0Hdb9wCqPJt,Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),5/30/2019,0.837,,,,,,,,,,,
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,8/2/2019,0.514,,,,,,,,,,,
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,79,Stay,2/23/2017,0.69,,,,,,,,,,,
1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,Armin van Buuren,60,Balance,10/25/2019,0.466,,,,,,,,,,,
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",9/28/2018,0.842,,,,,,,,,,,
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),7/29/2016,0.748,,,,,,,,,,,
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,10/13/2014,0.647,,,,,,,,,,,
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,74,Clarity,1/1/2012,0.509,,,,,,,,,,,
6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),5/17/2018,0.737,,,,,,,,,,,
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,1/27/2017,0.584,,,,,,,,,,,
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),8/17/2017,0.743,,,,,,,,,,,
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),10/12/2019,0.721,,,,,,,,,,,
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,84,Promises (with Sam Smith),8/17/2018,0.781,,,,,,,,,,,
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,86,Turn Me On (feat. Vula),9/13/2019,0.737,,,,,,,,,,,
6jq6rcOikCZAmjliAgAmfT,Light,San Holo,68,Light,2/10/2017,0.57,,,,,,,,,,,
762UXiwEHYY97VL45sAUPR,2U,David Guetta,66,2U,6/9/2017,0.551,,,,,,,,,,,
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,83,Memories...Do Not Open,4/7/2017,0.617,,,,,,,,,,,
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,85,One Kiss (with Dua Lipa),4/6/2018,0.791,,,,,,,,,,,
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Alesso,73,Forever,5/26/2015,0.503,,,,,,,,,,,
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Kygo,69,It Ain't Me,2/17/2017,0.64,,,,,,,,,,,
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,R.E.D. (Deluxe Edition),1/1/2012,0.658,,,,,,,,,,,
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,81,Encore,8/5/2016,0.649,,,,,,,,,,,
3vv9phIu6Y1vX3jcqaGz5Z,Roses,The Chainsmokers,73,Roses,6/16/2015,0.713,,,,,,,,,,,
2QtJA4gbwe1AcanB2p21aP,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,Clarity (Deluxe),2012,0.596,,,,,,,,,,,
1BltsyC5W3SAABdxyrDXwi,Latch,Disclosure,19,Settle,1/1/2013,0.503,,,,,,,,,,,
3tTYxjYYcXFqFXA0AZ1Fav,Flames,David Guetta,57,7,9/14/2018,0.609,,,,,,,,,,,
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,81,Purpose (Deluxe),11/13/2015,0.654,,,,,,,,,,,
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,79,This Is What You Came For,4/29/2016,0.63,,,,,,,,,,,
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,Avicii,84,TRUE,1/1/2013,0.532,,,,,,,,,,,
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,84,In My Mind,6/8/2018,0.694,,,,,,,,,,,
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),David Guetta,66,Nothing but the Beat 2.0,8/26/2011,0.604,,,,,,,,,,,
0n8ob8S72lvznoVfiwz4qL,Where Are Ü Now,Skrillex,8,Purpose (Deluxe),11/13/2015,0.432,,,,,,,,,,,
4r6eNCsrZnQWJzzvFh4nlg,Firework,Katy Perry,64,Teenage Dream,1/1/2010,0.638,,,,,,,,,,,
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),J Balvin,61,Mi Gente (feat. Beyoncé),9/28/2017,0.759,,,,,,,,,,,
1MlAkYV0nbRKWhhfvTt3zc,Don't You Worry Child - Radio Edit,Swedish House Mafia,27,Until Now,1/1/2012,0.614,,,,,,,,,,,
1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,TROLLS (Original Motion Picture Soundtrack),9/23/2016,0.669,,,,,,,,,,,
7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,57,Halcyon,1/1/2012,0.702,,,,,,,,,,,
0WfKDYeUAoLA3vdvLKKWMW,Poker Face,Lady Gaga,69,The Fame,1/1/2008,0.851,,,,,,,,,,,
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,77,How Deep Is Your Love,7/17/2015,0.738,,,,,,,,,,,
61ZM92T2zaXIVsqncThQzC,In Your Eyes (feat. Alida),Robin Schulz,74,In Your Eyes (feat. Alida),1/10/2020,0.57,,,,,,,,,,,
